gl ext spec\OML\GLX_OML_swap_method.txt                            : Accepted as a value in the <attrib_list> parameter of glXChooseFBConfig and returned in the <value> parameter of glXGetFBConfig:
gl ext spec\3DL\WGL_3DL_stereo_control.txt                         : Additions to Appendix A of the OpenGL 2.0 Specification (Invariance)
gl ext spec\AMD\AMD_vertex_shader_tessellator.txt                  : Additions to Appendix A of the OpenGL 2.1 Specification (Invariance)
gl ext spec\EXT\EXT_direct_state_access.txt                        : Additions to Appendix A of the OpenGL 3.0 Specification (Invariance)
gl ext spec\ARB\ARB_gpu_shader5.txt                                : Additions to Appendix A of the OpenGL 3.2 (Compatibility Profile) Specification (Invariance)
gl ext spec\ARB\ARB_sampler_objects.txt                            : Additions to Appendix A of the OpenGL 3.2 Specification (Compatibility Profile) (Invariance)
gl ext spec\ARB\ARB_draw_indirect.txt                              : Additions to Appendix A of the OpenGL 3.2 Specification (Invariance)
gl ext spec\ARB\ARB_internalformat_query.txt                       : Additions to Appendix A of the OpenGL 4.1 (Core Profile) Specification
gl ext spec\AMD\AMD_blend_minmax_factor.txt                        : Additions to Appendix A of the OpenGL 4.1 (Core) Specification (Invariance)
gl ext spec\KHR\KHR_blend_equation_advanced.txt                    : Additions to Appendix A of the OpenGL 4.1 Specification (Invariance)
gl ext spec\ARB\ARB_framebuffer_no_attachments.txt                 : Additions to Appendix A of the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_program_interface_query.txt                    : Additions to Appendix A of the OpenGL 4.2 (Compatibility Profile) Specification (Invariance)
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Additions to Appendix A of the OpenGL 4.2 (Core Profile) Specification
gl ext spec\OES\OES_required_internalformat.txt                    : Additions to Appendix A of the OpenGL ES 1.1 Specification (Invariance)
gl ext spec\EXT\EXT_shader_texture_lod.txt                         : Additions to Appendix A of the OpenGL ES 2.0 Specification (Invariance)
gl ext spec\OES\OES_shader_multisample_interpolation.txt           : Additions to Appendix A of the OpenGL ES 3.0 (Compatibility Profile) Specification (Invariance)
gl ext spec\EXT\EXT_draw_buffers_indexed.txt                       : Additions to Appendix A of the OpenGL ES 3.0 Specification (Invariance)
gl ext spec\OES\OES_shader_image_atomic.txt                        : Additions to Appendix A of the OpenGL ES 3.1 specification (Invariance)
gl ext spec\EXT\EXT_frag_depth.txt                                 : Additions to Appendix A.3 Invariance Rules
gl ext spec\ARB\ARB_matrix_palette.txt                             : Additions to Appendix A:
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Additions to Appendix B of the OpenGL 3.2 Specification (Corollaries)
gl ext spec\OES\OES_texture_compression_astc.txt                   : Additions to Appendix B of the OpenGL ES 3.0 Specification (Corollaries)
gl ext spec\OES\OES_vertex_array_object.txt                        : Additions to Appendix C (Deleting Shared Objects)
gl ext spec\APPLE\APPLE_sync.txt                                   : Additions to Appendix C (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Additions to Appendix C of the OpenGL 3.2 Specification (Compressed Texture Image Formats)
gl ext spec\ARB\ARB_ES3_compatibility.txt                          : Additions to Appendix C of the OpenGL 4.20.6 Specification (Compressed Texture Image Formats)
gl ext spec\EXT\EXT_occlusion_query_boolean.txt                    : Additions to Appendix C of the OpenGL ES 2.0 Specification (Shared Object and Multiple Contexts)
gl ext spec\OES\OES_texture_compression_astc.txt                   : Additions to Appendix C of the OpenGL ES 3.0 Specification (Compressed
gl ext spec\KHR\KHR_texture_compression_astc_sliced_3d.txt         : Additions to Appendix C of the OpenGL ES 3.1 Specification (Compressed Texture Image Formats
gl ext spec\KHR\KHR_texture_compression_astc_hdr.txt               : Additions to Appendix C of the OpenGL ES 3.1 Specification (Compressed Texture Image Formats)
gl ext spec\EXT\EXT_texture_compression_bptc.txt                   : Additions to Appendix C of the OpenGL ES 3.2 Specification (Compressed Texture Image Formats)
gl ext spec\ARB\ARB_cl_event.txt                                   : Additions to Appendix D (Shared Objects and Multiple Contexts)
gl ext spec\NV\NV_shader_buffer_load.txt                           : Additions to Appendix D of the OpenGL 3.0 Specification (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_shader_image_load_store.txt                    : Additions to Appendix D of the OpenGL 3.2 (Compatibility Profile) Specification (Invariance)
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Additions to Appendix D of the OpenGL 3.2 Specification (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_separate_shader_objects.txt                    : Additions to Appendix D of the OpenGL 4.0 Compatibility Profile Specific- ation (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_bindless_texture.txt                           : Additions to Appendix D of the OpenGL 4.0 Specification (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_internalformat_query.txt                       : Additions to Appendix D of the OpenGL 4.1 (Core Profile) Specification
gl ext spec\ARB\ARB_framebuffer_no_attachments.txt                 : Additions to Appendix D of the OpenGL 4.2 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_program_interface_query.txt                    : Additions to Appendix D of the OpenGL 4.2 (Compatibility Profile) Specification (Shared Objects and Multiple Contexts)
gl ext spec\ARB\ARB_internalformat_query2.txt                      : Additions to Appendix D of the OpenGL 4.2 (Core Profile) Specification
gl ext spec\ARB\ARB_texture_view.txt                               : Additions to Appendix D of the OpenGL 4.2 Specification (Shared Objects and Multiple Contexts)
gl ext spec\EXT\EXT_separate_shader_objects.gles.txt               : Additions to Appendix D of the OpenGL ES 2.0 Specification (Shared Objects and Multiple Contexts)
gl ext spec\OES\OES_texture_compression_astc.txt                   : Additions to Appendix D of the OpenGL ES 3.0 Specification (Shared
gl ext spec\ARB\ARB_explicit_attrib_location.txt                   : Additions to Appendix E of the OpenGL 3.2 Specification (The Deprecation Model)
gl ext spec\OES\OES_texture_compression_astc.txt                   : Additions to Appendix E of the OpenGL ES 3.0 Specification (Version 3.0
gl ext spec\ARB\ARB_texture_env_combine.txt                        : Additions to Appendix F of the GL Specification (ARB Extensions)
gl ext spec\NV\NV_fragment_program.txt                             : Additions to Appendix F of the OpenGL 1.2.1 Specification (ARB Extensions)
gl ext spec\ARB\ARB_vertex_array_object.txt                        : Additions to Appendix X of the OpenGL X.X specification (Sharing)
gl ext spec\SUN\GLX_SUN_get_transparent_index.txt                  : Additions to Chapter ??? of the GLX 1.3 Specification
gl ext spec\EXT\EXT_texenv_op.txt                                  : Additions to Chapter 1 of the GL Specification (Introduction)
gl ext spec\ARB\ARB_color_buffer_float.txt                         : Additions to Chapter 1 of the GLX 1.3 Specification (Overview)
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 1 of the OpenGL 4.4 (Compatibility Profile) Specification (Introduction)
gl ext spec\NV\NV_draw_vulkan_image.txt                            : Additions to Chapter 1 of the OpenGL 4.5 Specification (Introduction)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 1 of the OpenGL Shading Language 1.20 Specification
gl ext spec\AMD\AMD_conservative_depth.txt                         : Additions to Chapter 1 of the OpenGL Shading Language 4.00.08 Specification (Introduction)
gl ext spec\ARB\ARB_indirect_parameters.txt                        : Additions to Chapter 10 of the OpenGL 4.3 (Core Profile) Specification
gl ext spec\NV\NV_bindless_multi_draw_indirect_count.txt           : Additions to Chapter 10 of the OpenGL 4.3 (Core) Specification (OpenGL Operation)
gl ext spec\NV\NV_bindless_multi_draw_indirect.txt                 : Additions to Chapter 10 of the OpenGL 4.3 (Core) Specification (Vertex Specification and Drawing Commands)
gl ext spec\NV\NV_command_list.txt                                 : Additions to Chapter 10 of the OpenGL 4.4 (Compatibility) Specification
gl ext spec\ARB\ARB_conditional_render_inverted.txt                : Additions to Chapter 10 of the OpenGL 4.4 (Core Profile) Specification (Vertex Specification and Drawing Commands)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 10 of the OpenGL 4.4 (core) Specification (Vertex Specification and Drawing Commands)
gl ext spec\NV\NV_gpu_multicast.txt                                : Additions to Chapter 10 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\NV\NV_draw_vulkan_image.txt                            : Additions to Chapter 10 of the OpenGL 4.5 Specification (Vertex Specification and Drawing Commands)
gl ext spec\ARB\ARB_shader_draw_parameters.txt                     : Additions to Chapter 10 of the OpenGL Core Profile Specification, "Vertex Specification and Drawing Commands"
gl ext spec\AMD\AMD_interleaved_elements.txt                       : Additions to Chapter 10 of the OpenGL Core Profile Specification, Version 4.3,
gl ext spec\EXT\EXT_draw_elements_base_vertex.txt                  : Additions to Chapter 10 of the OpenGL ES 3.1 Specification (Vertex Specification and Drawing Commands)
gl ext spec\AMD\AMD_texture_texture4.txt                           : Additions to Chapter 10 of the OpenGL Shading Language 1.20 Specification (Issues)
gl ext spec\ARB\ARB_ES3_2_compatibility.txt                        : Additions to Chapter 11 of the 4.5 Specification (Programmable Vertex Processing)
gl ext spec\ARB\ARB_texture_stencil8.txt                           : Additions to Chapter 11 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_gpu_shader_int64.txt                           : Additions to Chapter 11 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\ARB\ARB_cull_distance.txt                              : Additions to Chapter 11 of the OpenGL 4.4 (Core Profile) Specification (Programmable Vertex Processing)
gl ext spec\NV\NV_stereo_view_rendering.txt                        : Additions to Chapter 11 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_gpu_shader_half_float.txt                      : Additions to Chapter 11 of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\ARB\ARB_shader_viewport_layer_array.txt                : Additions to Chapter 11 of the OpenGL 4.5 (Core) Specification (Programmable Vertex Processing)
gl ext spec\ARB\ARB_shader_draw_parameters.txt                     : Additions to Chapter 11 of the OpenGL Core Profile Specification, "Programmable Vertex Processing"
gl ext spec\AMD\AMD_interleaved_elements.txt                       : Additions to Chapter 11 of the OpenGL Core Profile Specification, Version 4.3,
gl ext spec\IMG\IMG_bindless_texture.txt                           : Additions to Chapter 11 of the OpenGL ES 3.1 API Specification, "Programmable Vertex Processing"
gl ext spec\NV\NV_viewport_array.txt                               : Additions to Chapter 11 of the OpenGL ES 3.1 Specification
gl ext spec\OES\OES_viewport_array.txt                             : Additions to Chapter 11 of the OpenGL ES 3.2 Specification (Programmable Vertex Post-Processing)
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Additions to Chapter 11 of the OpenGL ES 3.2 Specification (Programmable Vertex Processing)
gl ext spec\EXT\EXT_draw_transform_feedback.txt                    : Additions to Chapter 1-11 of the OpenGL ES 3.2 specification
gl ext spec\EXT\EXT_draw_transform_feedback.txt                    : Additions to Chapter 12 of the OpenGL 3.2 Specification (Fixed- Function Vertex Post-Processing)
gl ext spec\EXT\EXT_clip_cull_distance.txt                         : Additions to Chapter 12 of the OpenGL ES 3.2 Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\NV\NV_polygon_mode.txt                                 : Additions to Chapter 13 of the OpenGL 3.1 Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\NV\NV_conservative_raster.txt                          : Additions to Chapter 13 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\NV\NV_viewport_swizzle.txt                             : Additions to Chapter 13 of the OpenGL 4.3 (Compatibility Profile) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\ARB\ARB_clip_control.txt                               : Additions to Chapter 13 of the OpenGL 4.4 (Compatibility Profile) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\ARB\ARB_transform_feedback_overflow_query.txt          : Additions to Chapter 13 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\ARB\ARB_cull_distance.txt                              : Additions to Chapter 13 of the OpenGL 4.4 (Core Profile) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 13 of the OpenGL 4.4 (core) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\NV\NV_clip_space_w_scaling.txt                         : Additions to Chapter 13 of the OpenGL 4.5 (Compatibility Profile) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\ARB\ARB_shader_viewport_layer_array.txt                : Additions to Chapter 13 of the OpenGL 4.5 (Core) Specification (Fixed-Function Vertex Post-Processing)
gl ext spec\EXT\EXT_multisample_compatibility.txt                  : Additions to Chapter 13 of the OpenGL ES 3.1 Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\QCOM\QCOM_shader_framebuffer_fetch_rate.txt            : Additions to Chapter 13 of the OpenGL ES 3.2 Specification
gl ext spec\EXT\EXT_window_rectangles.txt                          : Additions to Chapter 13 of the OpenGL ES 3.2 Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\INTEL\INTEL_conservative_rasterization.txt             : Additions to Chapter 13.7, Polygons of the OpenGL ES 3.2 Specification
gl ext spec\QCOM\QCOM_shader_framebuffer_fetch_rate.txt            : Additions to Chapter 14 (Programmable Fragment Processing) of the OpenGL ES 3.2 Specification
gl ext spec\EXT\EXT_raster_multisample.txt                         : Additions to Chapter 14 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_clip_control.txt                               : Additions to Chapter 14 of the OpenGL 4.4 (Compatibility Profile) Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\AMD\AMD_transform_feedback4.txt                        : Additions to Chapter 14 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\AMD\AMD_framebuffer_sample_positions.txt               : Additions to Chapter 14 of the OpenGL 4.4 (Core) Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\ARB\ARB_polygon_offset_clamp.txt                       : Additions to Chapter 14 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\EXT\EXT_window_rectangles.txt                          : Additions to Chapter 14 of the OpenGL 4.5 (Compatibility Profile) Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\NV\NV_draw_vulkan_image.txt                            : Additions to Chapter 14 of the OpenGL 4.5 Specification (Fixed-Function Primitive Assembly and Rasterization)
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Additions to Chapter 14 of the OpenGL ES 3.1 Specification (Programmable Fragment Processing)
gl ext spec\INTEL\INTEL_blackhole_render.txt                       : Additions to Chapter 14.2.2, Shader Inputs of the OpenGL ES 3.2 Specification
gl ext spec\INTEL\INTEL_conservative_rasterization.txt             : Additions to Chapter 14.6, Polygons of the OpenGL 4.5 Specification
gl ext spec\NV\NV_polygon_mode.txt                                 : Additions to Chapter 15 of the OpenGL 3.1 Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\ARB\ARB_texture_stencil8.txt                           : Additions to Chapter 15 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 15 of the OpenGL 4.4 (Compatibility Profile) Specification (Programmable Fragment Processing)
gl ext spec\AMD\AMD_transform_feedback4.txt                        : Additions to Chapter 15 of the OpenGL 4.4 (Core Profile) Specification
gl ext spec\ARB\ARB_pipeline_statistics_query.txt                  : Additions to Chapter 15 of the OpenGL 4.4 (Core Profile) Specification (Programmable Fragment Processing)
gl ext spec\ARB\ARB_post_depth_coverage.txt                        : Additions to Chapter 15 of the OpenGL 4.5 (Compatibility Profile) Specification
gl ext spec\EXT\EXT_render_snorm.txt                               : Additions to Chapter 15 of the OpenGL ES 3.1 Specification
gl ext spec\EXT\EXT_blend_func_extended.txt                        : Additions to Chapter 15 of the OpenGL ES 3.1 Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\EXT\EXT_depth_clamp.txt                                : Additions to Chapter 15 of the OpenGL ES 3.2 Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\INTEL\INTEL_conservative_rasterization.txt             : Additions to Chapter 15.2.2, Shader Inputs of the OpenGL 4.5 Specification
gl ext spec\EXT\EXT_window_rectangles.txt                          : Additions to Chapter 16 of the OpenGL ES 3.2 Specification (Reading and Copying Pixels)
gl ext spec\EXT\EXT_raster_multisample.txt                         : Additions to Chapter 17 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\AMD\AMD_occlusion_query_event.txt                      : Additions to Chapter 17 of the OpenGL 4.3 (core) Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 17 of the OpenGL 4.4 (Compatibility Profile) Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 17 of the OpenGL 4.4 (core) Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\EXT\EXT_window_rectangles.txt                          : Additions to Chapter 17 of the OpenGL 4.5 (Compatibility Profile) Specification (Writing Fragments and Samples to the Framebuffer)
gl ext spec\AMD\AMD_framebuffer_multisample_advanced.txt           : Additions to Chapter 17 of the OpenGL 4.5 (Core Profile) Specification
gl ext spec\EXT\EXT_raster_multisample.txt                         : Additions to Chapter 18 of the OpenGL 4.3 (Compatibility Profile) Specification
gl ext spec\ARB\ARB_ES3_1_compatibility.txt                        : Additions to Chapter 18 of the OpenGL 4.4 (Compatibility Profile) Specification (Drawing, Reading, and Copying Pixels)
gl ext spec\ARB\ARB_direct_state_access.txt                        : Additions to Chapter 18 of the OpenGL 4.4 (core) Specification (Reading and Copying Pixels)
gl ext spec\NV\NV_draw_vulkan_image.txt                            : Additions to Chapter 18 of the OpenGL 4.5 Specification (Drawing, Reading, and Copying Pixels)
gl ext spec\ARB\ARB_pipeline_statistics_query.txt                  : Additions to Chapter 19 of the OpenGL 4.4 (Core Profile) Specification (Compute Shaders)
gl ext spec\EXT\EXT_sparse_texture.txt                             : Additions to Chapter 19 of the OpenGL ES 3.1 Specification (Context State Queries)
gl ext spec\NV\NV_non_square_matrices.txt                          : Additions to Chapter 2 - OpenGL ES Operation
gl ext spec\ARB\ARB_uniform_buffer_object.txt                      : Additions to Chapter 2 - OpenGL Operation
gl ext spec\OES\OES_vertex_array_object.txt                        : Additions to Chapter 2 (OpenGL ES Operation)
gl ext spec\ARB\ARB_texture_cube_map_array.txt                     : Additions to Chapter 2 of OpenGL 3.0 Specification (OpenGL Operation)
gl ext spec\APPLE\APPLE_texture_range.txt                          : Additions to Chapter 2 of the 1.0 Specification (OpenGL Operation)
gl ext spec\SGIX\SGIX_subdiv_patch.txt                             : Additions to Chapter 2 of the 1.0 Specification (OpenGL Operation):
gl ext spec\EXT\EXT_bgra.txt                                       : Additions to Chapter 2 of the 1.1 Specification (OpenGL Operation)
gl ext spec\EXT\EXT_secondary_color.txt                            : Additions to Chapter 2 of the 1.2 Draft Specification (OpenGL Operation)
